Graffito ID,Segment,Pretty sure not using
EDR149197,VIII.5.1-30,
EDR149213,VIII.5.1-30,
EDR150187,VIII.5.1-30,
EDR150188,VIII.5.1-30,
EDR150397,VIII.5.1-30,
EDR149040,II.4.1-7,
EDR149042,II.4.1-7,
EDR149044,II.4.1-7,
EDR149045,II.4.1-7,
EDR149323,II.4.1-7,
EDR149324,II.4.1-7,
EDR149331,II.4.1-7,
EDR149332,II.4.1-7,
EDR149333,II.4.1-7,
EDR149334,II.4.1-7,
EDR149335,II.4.1-7,
EDR149337,II.4.1-7,
EDR149338,II.4.1-7,
EDR149340,II.4.1-7,
EDR149344,II.4.1-7,
EDR149403,II.4.1-7,
EDR072296,V.6.a-c,
EDR074234,VII.12.1-14,
EDR079495,III.5.1-5,
EDR147517,I.13.6-9,
EDR148022,VI.15.1-18,
EDR148379,I.11.1-7,
EDR147717,VII.7.32,
EDR149185,I.4.5-7,
EDR149490,II.5.1-3,
EDR149187,I.4.22-23,
EDR147862,I.13.9-10,
EDR147874,III.5.3-4,
EDR147878,I.613-16,
EDR147929,I.613-16,
EDR147933,VI.15.1-18,
EDR147972,VI.9.1-7,
EDR147973,VI.9.1-7,
EDR147974,I.6.13-16,
EDR149188,I.4.16-27,
EDR149190,I.4.28,
EDR149191,I.4.28,
EDR149333,II.4.1-7,
EDR149186,I.4.1-15,
EDR149189,I.4.16-27,
EDR136429,I.6.1-12,
EDR142566,I.6.1-12,
EDR150187,VIII.5.1-30,
EDR151707,VI.9.1-7,
EDR151709,VI.9.1-7,
EDR151710,VI.9.1-7,
EDR151712,VI.9.1-7,
EDR151713,VI.9.1-7,
EDR151716,VI.9.1-7,
EDR151717,VI.9.1-7,
EDR151719,VI.9.1-7,
EDR151722,VI.9.1-7,
EDR151760,VI.9.1-7,
EDR151779,VI.9.1-7,
EDR151792,VI.9.1-7,
EDR151926,VI.9.1-7,
EDR151597,VII.9.67-68,
EDR159412,III.5.1-5,
EDR159669,IX.2.14-16,
EDR160228,I.6.1-12,
EDR160326,V.2.a-f,
EDR159678,V.3.9-12,
EDR160164,VI.15.1-18,
EDR160333,I.10.1-8,
EDR161819,IX.13.1-6,
EDR161820,IX.13.1-6,
EDR161821,IX.13.1-6,
EDR161822,IX.13.1-6,
EDR161823,IX.13.1-6,
EDR161824,IX.13.1-6,
EDR161825,IX.13.1-6,
EDR161826,IX.13.1-6,
EDR161835,IX.13.1-6,
EDR161836,IX.13.1-6,
EDR161837,IX.13.1-6,
EDR160160,VII.9.1,
EDR151780,VI.9.1-7,
EDR151781,VI.9.1-7,
EDR151783,VI.9.1-7,
EDR151786,VI.9.1-7,
EDR151791,VI.9.1-7,
EDR151793,VI.9.1-7,
EDR151794,VI.9.1-7,
EDR151795,VI.9.1-7,
EDR151796,VI.9.1-7,
EDR151797,VI.9.1-7,
EDR151825,VI.9.1-7,
EDR151828,VI.9.1-7,
EDR151832,VI.9.1-7,
EDR151848,VI.9.1-7,
EDR151883,VI.9.1-7,
EDR160163,IX.9.a-g,
EDR163701,V.1.13-32,
EDR163703,V.1.13-32,
EDR159681,II.4.10-12,
EDR165178,VII.15.8-10,
EDR160078,IX.2.13-16,
EDR167998,II.7.1-2,
EDR168001,II.7.1-2,
EDR167996,II.7.1-2,
EDR150907,VIII.4.1-18,
EDR168648,V.3.9-12,
EDR159681,II.4.10-12,