EDR081348,Publi,publi,publius,N2/1,67859,*,Af-,Arrius P(ubli) f(ilius)
EDR081348,Arrius,arrius,arrius,N2/1,8641,*,Af-,Arrius P(ubli) f(ilius)
EDR081348,Arrius,arrius,arrius,N2/1,8641,*,Af-,Arrius P(ubli) f(ilius)
EDR151898,Flavia,flauia,flauia,N1,33397,f,NpA,Phlavia (:Flavia) &#920;&#818; l&#818;i&#818;g&#818;i&#818;s&#818; (:lingis)
EDR151898,Flavia,flauia,flauius,N2/1,33412,*,Af-,Phlavia (:Flavia) &#920;&#818; l&#818;i&#818;g&#818;i&#818;s&#818; (:lingis)
EDR081347,Arrius,arrius,arrius,N2/1,8641,*,Af-,P(ublius) Arriûs Spaerus
EDR081347,Arrius,arrius,arrius,N2/1,8641,*,Af-,P(ublius) Arriûs Spaerus
EDR081347,Publius,publius,publius,N2/1,67859,*,Af-,P(ublius) Arriûs Spaerus
EDR081347,Publius,publius,publius,N2/1,67859,*,Af-,P(ublius) Arriûs Spaerus
EDR140061,Valentina,ualentina,ualentinum,N2,87804,n,NpB,[--- acce]pit Secundus Crusali ser(vus?) et Valentina ((:phallus))
EDR140061,Valentina,ualentina,ualentini,N2/1,87803,*,Af-,[--- acce]pit Secundus Crusali ser(vus?) et Valentina ((:phallus))
EDR140254,Ianuarias,ianuarias,ianuarius,N2/1,44635,*,Af-,&#919;dibus (:Idibus) Ianyaris (:Ianuarias) mystacogus (:mystagogus &#956;&#965;&#963;&#964;&#945;&#947;&#969;&#947;&#972;&#962;) docens GEBEUM et &#7864;t&#803;o&#803;e&#803;n l&#803;u&#803;c&#803;i&#803;a&#803;n&#803;+ VIC&#803;IC 
EDR140255,Porcius,porcius,porcius,N2/1,64802,*,Af-,Se(xtus) Porcius s s
EDR140255,Porcius,porcius,porcius,N2/1,64802,*,Af-,Se(xtus) Porcius s s
EDR140198,Aniciae,aniciae,anicius,N2/1,6128,*,Af-,Ani&#803;ciae&#803; f&#818;e&#818;l&#818;i&#818;c&#818;i&#818;t&#818;e&#818;r&#818;
EDR140171,Saturninae,saturninae,saturnini,N2/1,73497,*,Af-,Saturnina[e] matr(i) uncus a(ssibus) III 
EDR140131,Crocale,crocale,crocale,N1,21885,f,NpA,Croca&#818;l&#803;e barbat&#818;a&#818;
EDR140131,Crocale,crocale,crocale,N1,21885,f,NpA,Croca&#818;l&#803;e barbat&#818;a&#818;
EDR151863,Hostius,hostius,hostius,N2/1,38758,*,Af-,C(aius) Ostius (:Hostius)
EDR151863,Hostius,hostius,hostius,N2/1,38758,*,Af-,C(aius) Ostius (:Hostius)
EDR151863,Caius,caius,caius,N2/1,13557,*,Af-,C(aius) Ostius (:Hostius)
EDR140039,tros,tros,tros,N3B,86089,m,NpC,&#12296;:columna I&#12297; Branc broc trans nus  &#12296;:columna II&#12297; Nos= ter  tros  men   &#12296;:columna III&#12297; Quod quid quae quas  &#12296;:columna IV&#12297; Rum quis  que dem  &#12296;:columna V&#12297; Con  les lis  mu&#7735;  &#12296;:columna VI&#12297; Mol ma me mae
EDR150399,Aviani,auiani,auianius,N2/1,10588,*,Af-,L(uci) Aviani votus (:votum)
EDR150399,Aviani,auiani,auianus,N2/1,10589,*,Af-,L(uci) Aviani votus (:votum)
EDR151877,Spedio,spedio,spedius,N2/1,77660,*,Af-,Spedio Antymo [- - -] [redi?]bis e Pompeian[o] a Colono sa&#803;(lutem?)  est augusta&#818;l&#818;[is]
EDR151877,Pompeiano,pompeiano,pompeianus,N2/1,64624,*,Af-,Spedio Antymo [- - -] [redi?]bis e Pompeian[o] a Colono sa&#803;(lutem?)  est augusta&#818;l&#818;[is]
EDR140172,Epicurus,epicurus,epicurus,N2,29176,m,NpB,A Epicurus  si es Utica
EDR152964,Aprilis,aprilis,aprilius,N2/1,7403,*,Af-,K(alendas) Aug&#803;(ustas) Nonas&#803; A&#818;p&#818;r&#818;(ilis) At&#818;i&#818;n&#818;a&#818;s&#818;
EDR152964,Aprilis,aprilis,aprilis,N3B,7402,2,NpC,K(alendas) Aug&#803;(ustas) Nonas&#803; A&#818;p&#818;r&#818;(ilis) At&#818;i&#818;n&#818;a&#818;s&#818;
EDR154569,Casium,casium,casium,N2,14884,n,NpB,Casium et tres sc[- - -]rios habes
EDR154569,Casium,casium,casius,N2/1,14885,*,Af-,Casium et tres sc[- - -]rios habes
EDR154185,Caesaris,caesaris,caesarus,N2,13486,m,NpB,Apelles cubicularius cum Dextro Caesar(is) pranderunt hic iucundissime et future simul.
EDR154185,Caesaris,caesaris,caesar,N3B,13471,m,NpC,Apelles cubicularius cum Dextro Caesar(is) pranderunt hic iucundissime et future simul.
EDR154185,Caesaris,caesaris,caesar,N3B,13472,m,NpC,Apelles cubicularius cum Dextro Caesar(is) pranderunt hic iucundissime et future simul.
EDR154190,Symphorus,symphorus,symphorus,N2,81712,m,NpB,Mortus (:Mortuus) Sumpo(rus) (:Symphorus)
EDR154433,Vitalio,uitalio,uitalio,N3B,89928,m,NpC,Vitalio p&#818;e&#818;dica ut comatus&#818; Urosacula&#818; Suu&#818;r&#818;us (:Syrus?) Fo&#818;l&#818;i&#818;a&#818;t&#818;u&#818;s&#818;
EDR154539,Vinicius,uinicius,uinicius,N2,89621,m,NpB,Vin(icius?) Florus Paris C(aius) Messenius
EDR154539,Caius,caius,caius,N2/1,13557,*,Af-,Vin(icius?) Florus Paris C(aius) Messenius
EDR156980,Sabina,sabina,sabini,N2/1,72188,*,Af-,Sabin(a) Sabina
EDR140062,heribus,heribus,heres,N3B,37744,m,NpC,eribus (:heribus) miscella 
EDR140062,heribus,heribus,hero,N4,37848,f,NpD,eribus (:heribus) miscella 
EDR140213,Cereales,cereales,cerealis,N3B,15790,*,NpC,Cereales sint Cums (:Cumis) 
EDR140188,Numisii,numisii,numisius,N2/1,55830,*,Af-,VIII K(alendas) Martias Numisii Genialis gladiatorum paria X Herculani
EDR140188,Martias,martias,martius,N2/1,50251,*,Af-,VIII K(alendas) Martias Numisii Genialis gladiatorum paria X Herculani
EDR140983,Ianuarius,ianuarius,ianuarius,N2/1,44635,*,Af-,Fo&#818;rtunatus · amat · Ampl&#818;i&#818;a&#818;nda (:Ampliandam). Ianuarius · amat · Veneria (:Veneriam). Rogamus · damna (:domina) · Venus ut · nos · in · mente · h&#818;a&#818;bias (:habeas) quod te · modo · introrgamus (:interrogamus)
EDR140983,Ianuarius,ianuarius,ianuarius,N2/1,44635,*,Af-,Fo&#818;rtunatus · amat · Ampl&#818;i&#818;a&#818;nda (:Ampliandam). Ianuarius · amat · Veneria (:Veneriam). Rogamus · damna (:domina) · Venus ut · nos · in · mente · h&#818;a&#818;bias (:habeas) quod te · modo · introrgamus (:interrogamus)
EDR140983,Veneriam,ueneriam,ueneria,N1,88431,f,NpA,Fo&#818;rtunatus · amat · Ampl&#818;i&#818;a&#818;nda (:Ampliandam). Ianuarius · amat · Veneria (:Veneriam). Rogamus · damna (:domina) · Venus ut · nos · in · mente · h&#818;a&#818;bias (:habeas) quod te · modo · introrgamus (:interrogamus)
EDR151822,Puteolis,puteolis,puteoli,N2,68258,m,NpB,Vasileus habitat Putelis (:Puteolis) in castris August[i - - -] su(b) Valeri[o - - -]
EDR151822,Valerio,ualerio,ualerius,N2/1,87813,*,Af-,Vasileus habitat Putelis (:Puteolis) in castris August[i - - -] su(b) Valeri[o - - -]
EDR152815,lali,lali,lalius,N2/1,45521,*,Af-,&#12296;:ad perpendiculum&#12297; Rare lali omnes a
EDR152815,lali,lali,lalus,N2/1,45527,*,Af-,&#12296;:ad perpendiculum&#12297; Rare lali omnes a
EDR159772,Stratonicus,stratonicus,stratonicus,N2,78712,m,NpB,&#12296;:columna I&#12297; C&#932;&#929;&#913;= &#932;&#927;&#925;&#921;= &#922;&#927;C (:&#931;&#964;&#961;&#945;&#964;&#972;&#957;&#953;&#954;&#959;&#962;)  &#12296;:columna II&#12297; Stra= tonicos (:Stratonicus) scrips(it)
EDR151894,Artorius,artorius,artorius,N2/1,8779,*,Af-,Artorius  [- - -]IIIII II III
EDR151894,Artorius,artorius,artorius,N2/1,8779,*,Af-,Artorius  [- - -]IIIII II III
EDR073355,Titi,titi,titus,N2,84434,m,NpB,Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297; hic cacavit bene
EDR073355,Titi,titi,titus,N2,84435,m,NpB,Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297; hic cacavit bene
EDR073355,Titi,titi,titius,N2/1,84411,*,Af-,Apollinaris medicus Ti&#768;ti&#768; Impe(ratoris) &#12296;:servus&#12297; hic cacavit bene
EDR102191,Hermeros,hermeros,hermeros,N3B,37786,m,NpC,Hermeros Prìmigeniae dominae: venì Puteolos in vìco Tyaniano et quaere a Messio numulario(:nummulario) Hermerotem Phoebì
EDR102191,Puteolos,puteolos,puteoli,N2,68258,m,NpB,Hermeros Prìmigeniae dominae: venì Puteolos in vìco Tyaniano et quaere a Messio numulario(:nummulario) Hermerotem Phoebì
EDR102191,Hermerotem,hermerotem,hermeros,N3B,37786,m,NpC,Hermeros Prìmigeniae dominae: venì Puteolos in vìco Tyaniano et quaere a Messio numulario(:nummulario) Hermerotem Phoebì
EDR140239,Caius,caius,caius,N2/1,13557,*,Af-,C(aius) Iunius ((:nomen C(AIUS) IUNIUS in forma navis scriptum))
EDR081345,Messenius,messenius,messenius,N2/1,51705,*,Af-,C(aius) Messenius Eunomus im(:in) curia
EDR081345,Messenius,messenius,messenius,N2/1,51705,*,Af-,C(aius) Messenius Eunomus im(:in) curia
EDR081345,Caius,caius,caius,N2/1,13557,*,Af-,C(aius) Messenius Eunomus im(:in) curia
EDR081345,Eunomus,eunomus,eunomus,N2,30220,m,NpB,C(aius) Messenius Eunomus im(:in) curia
EDR154045,Tiberius,tiberius,tiberius,N2/1,84126,*,Af-,Ti(berius) Claud(ius)
EDR154045,Tiberius,tiberius,tiberius,N2/1,84126,*,Af-,Ti(berius) Claud(ius)
EDR140140,Vettius,uettius,uettius,N2/1,89132,*,Af-,Q&#803;(uintus) Vet&#803;ius&#803; (:Vettius)
EDR140140,Vettius,uettius,uettius,N2/1,89132,*,Af-,Q&#803;(uintus) Vet&#803;ius&#803; (:Vettius)
EDR140204,Publius,publius,publius,N2/1,67859,*,Af-,IIII P(ublius) Quin(tilius?)
EDR140204,Publius,publius,publius,N2/1,67859,*,Af-,IIII P(ublius) Quin(tilius?)
EDR140234,Publius,publius,publius,N2/1,67859,*,Af-,P(ublius) Septumius
EDR140234,Publius,publius,publius,N2/1,67859,*,Af-,P(ublius) Septumius
EDR140034,Moschus,moschus,moschus,N2,53125,m,NpB,Stirisc[us? - - -] [- - - M]oschus Noeto
EDR151948,Remmius,remmius,remmius,N2/1,70294,*,Af-,R&#7865;mmius Rufus
EDR151948,Remmius,remmius,remmius,N2/1,70294,*,Af-,R&#7865;mmius Rufus
EDR140152,Verginiam,uerginiam,uerginius,N2/1,88670,*,Af-,Hyacinthus hic fu&#818;i&#818;t&#818; Verginiam s&#818;u&#818;a&#818;m&#818;
EDR140221,Marcello,marcello,marcellus,N2/1,49973,*,Af-,vol cum Marcello bona[---]
EDR154179,Epaphroditum,epaphroditum,epaphrodite,N1,29060,f,NpA,Duo sodales hic fuerunt et cum diu malum ministrum in omnia haberent nomine Epaphroditum vix tarde eum foras exigerunt (:exegerunt). Consumpserunt persuavissime cum fu`tu´ere ((sestertii)) CVS
EDR154179,Epaphroditum,epaphroditum,epaphroditus,N2,29061,m,NpB,Duo sodales hic fuerunt et cum diu malum ministrum in omnia haberent nomine Epaphroditum vix tarde eum foras exigerunt (:exegerunt). Consumpserunt persuavissime cum fu`tu´ere ((sestertii)) CVS
EDR151417,Nicanor,nicanor,nicanor,N3B,55013,m,NpC,N&#803;icanor ovas&#818;
EDR140151,Tatius,tatius,tatius,N2/1,82446,*,Af-,A(ulus) Tati(us?) [- - -]p&#818;r&#818;ius
EDR140151,Tatius,tatius,tatius,N2/1,82446,*,Af-,A(ulus) Tati(us?) [- - -]p&#818;r&#818;ius
EDR140147,Puteolis,puteolis,puteoli,N2,68258,m,NpB,[---]A&#818;S&#818;[---] conclave Puteolis C&#803;[-]AN&#803;A&#803; [---]V&#818;LII consitont (:consistunt) Herculaneses (:Herculanenses) navculae (:naviculae) 
EDR140147,Herculanenses,herculanenses,herculanensis,N3A,37708,2,Af-,[---]A&#818;S&#818;[---] conclave Puteolis C&#803;[-]AN&#803;A&#803; [---]V&#818;LII consitont (:consistunt) Herculaneses (:Herculanenses) navculae (:naviculae) 
EDR153111,Phoebus,phoebus,phoebus,N2,63188,m,NpB,Fuibus (:Phoebus) egrotes (:aegrotes)
EDR154368,Cilix,cilix,cilix,N3B,16629,m,NpC,[F]usci Cilix Cilix
EDR129306,Euhodus,euhodus,euhodus,N2,30164,m,NpB,Lollian(us) Euodus(:Euhodus)</span> Priscus Musicus 5 Atimetus [Am?]p&#803;e&#803;lus [---]c&#803;c&#803;us G&#818;l&#818;aucus C&#818;o&#818;mmuni&#818;s&#818;
EDR129306,Lollianus,lollianus,lollianus,N2/1,47831,*,Af-,Lollian(us) Euodus(:Euhodus)</span> Priscus Musicus 5 Atimetus [Am?]p&#803;e&#803;lus [---]c&#803;c&#803;us G&#818;l&#818;aucus C&#818;o&#818;mmuni&#818;s&#818;
EDR129306,Atimetus,atimetus,atimetus,N2,9697,m,NpB,Lollian(us) Euodus(:Euhodus)</span> Priscus Musicus 5 Atimetus [Am?]p&#803;e&#803;lus [---]c&#803;c&#803;us G&#818;l&#818;aucus C&#818;o&#818;mmuni&#818;s&#818;
EDR154434,Longinus,longinus,longinus,N2,47877,m,NpB,Longinus IV Idu[s Iu]lias Iualias (:Iulias) accepit vim hila(re?) Sturnus am(ator?)
EDR140190,Euhodus,euhodus,euhodus,N2,30164,m,NpB,((:gladiatores inter se dimicantes)) Euhodus et Satura  Puteolani
EDR153741,Chie,chie,chius,N2,16323,f,NpB,Chie IMN
EDR153741,Chie,chie,chius,N2/1,16322,*,Af-,Chie IMN
EDR154371,Laviniam,lauiniam,lauinia,N1,46315,f,NpA,Salar[ius] glabe (:glaber) RVSIVNNAE Lavinia (:Laviniam) futui
