EDR128560,Agele (:Aegle?)
EDR151912,Διώφαντοϲ (:Διόφαντοϲ)
EDR151912,Ἄδωνϲ (:Ἄδωνιϲ)
EDR151912,Ἀπολώδωροϲ (:Ἀπολλόδωροϲ)
EDR151912,Πολόνιοϲ (:Ἀπολλώνιοϲ)
EDR167546,πυγίζι (:πυγίζει)
EDR128557,fellaat (:fellat)
EDR072296,Aedilem Proculam (:Proculum)
EDR175590,calos (:καλός)
EDR175965,Primigenus (:Primigenius)
EDR148515,βεινεῖ (:βινεῖ)
EDR128753,catedra (:cathedra)
EDR124986,Hantis (:Anthis)
EDR149251,paterus (:pateris)
EDR150507,Sarnesis (:Sarnensis)
EDR148671,Acetabela (:acetabula)
EDR163702,Felicla (:Felicula)
EDR163702,virna (:verna)
EDR128779,Elesina (:Eleusinae)
EDR127081,equita (:equitat)
EDR128059,vixillu(m) (:vexillum)
EDR128062,hc (:hic)
EDR128062,lus (:lusit)
EDR128062,decemrias (:decembres)
EDR127423,Chole (:Chloe)
EDR168515,Pirrichus (:Pyrrichus)
EDR127186,Comunis (:Communis)
EDR127815,que (:quae)
EDR127815,scripto (:scriptor)
EDR151688,fortynati (:fortunati)
EDR127398,Loli (:Lolli)
EDR127398,emtu (:emptus)
EDR127399,Ic (:hic)
EDR127399,valiamus (:valeamus)
EDR168362,Cosini (:Cossini)
EDR170827,Narcisus (:Narcissus)
EDR170827,Narcisus (:Narcissus)
EDR170827,Narcisus (:Narcissus)
EDR127827,Phrygas (:Phryges)
EDR127827,dester (:dexter)
EDR168043,atsueta (:adsueta)
EDR079495,Tiopilus (:Theophilus)
EDR079495,cunnu (:cunnum)
EDR163405,tui (:futui)
EDR163882,Quartila (:Quartilla)
EDR163899,bineis (:βινεῖς)
EDR175216,habi (:habenam)
EDR175216,col (:coliculum)
EDR175216,bet (:betam)
EDR175216,men (:mentam)
EDR175237,Domine (:Dominae)
EDR151051,set (:sed)
EDR175884,Vetito (:Betito?)
EDR175884,K (:Kalendas)
EDR175884,Decεmm (:Decembris)
EDR175933,axungia (:axungiam)
EDR175933,aliu (:alium)
EDR175933,manuplos (:manipulos)
EDR167424,Sedlatus (:Sedulatus)
EDR167424,Ispanus (:Hispanus)
EDR167186,virei (:viri)
EDR167186,bonei (:boni)
EDR167186,sei (:si)
EDR167788,Epapra (:Epaphra)
EDR167788,duxserunt (:duxerunt)
EDR159412,hoc (:huc)
EDR159412,Scribitt (:scribit)
EDR158841,miror (:admiror)
EDR158841,cecidise (:cecidisse)
EDR167619,Valentine (:Valentinae)
EDR175862,culu (:culum)
EDR127298,Posstumi (:Postumi)
EDR127426,Heleusinae (:Eleusinae)
EDR127405,abeat (:habeat)
EDR127809,Primu (:Primus)
EDR127809,AV (:ave)
EDR127820,Tosori (:Tonsori?)
EDR127234,Atillius (:Atilius)
EDR127155,Atilo (:Atilio)
EDR167630,Liciniu (:Licinius)
EDR128052,Caeicilius (:Caecilius)
EDR128050,ic (:hic)
EDR128050,abitamus (:habitamus)
EDR175859,ΒΑΧΧΙS (:Bacchis)
EDR175859,ΔΟΜΝΑ (:domina)
EDR128757,Paevoniam (:Paeoniam)
EDR124967,Quartila (:Quartilla)
EDR128017,Aseliam (:Asellam)
EDR151709,cores (:choreis)
EDR145434,Crete (:Chreste)
EDR145434,issime (:ipsime)
EDR151820,Polucarpus (:Polycarpus)
EDR167696,Iucudus (:Iucundus)
EDR159410,hoc (:huc)
EDR143648,oculei (:oculi)
EDR143648,posquam (:postquam)
EDR143648,deducxstis (:deduxistis)
EDR143648,vestreis (:vestris)
EDR143648,flamam (:flammam)
EDR143648,epoese (:ἐποίησε)
EDR168045,Quius (:Cuius)
EDR144786,sei (:si)
EDR144786,nostei (:novisti)
EDR144786,sei (:si)
EDR167724,Xomanus (:Romanus?)
EDR150370,Froto (:Fronto)
EDR160313,Zepirios (:Zephyros)
EDR168285,ITBVRTIVS (:Tiburtius)
EDR152017,scribet (:scribit)
EDR152017,condisces (:condiscens)
EDR162634,pygiza (:δὸς πυγίσαι)
EDR147923,cithera (:cythera)
EDR158840,pariens (:paries)
EDR167536,BIQV (:ubique)
EDR168001,Λ (:assibus)
EDR167821,Ephaprodite (:Epaphrodite)
EDR160160,Olyxis (:Ulixi)
EDR167837,maldixi (:maledixi)
EDR124993,Quartila (:Quartilla)
EDR175793,ελαβ (:ἔλαβες)
EDR175793,παρεχρηϲοϲ (:παρέχρησας)
EDR175793,απηνονκεϲ (:ἀπήνεγκες)
EDR175932,miliu (:milium)
EDR168634,cinedus (:cinaedus)
EDR167407,Ahtus (:Anthus)
EDR167407,apais (:ἄπαις)
EDR175857,Ἑκάτα (:Ἑκάτη)
EDR175967,καλλίνεικοϲ (:καλλίνικοϲ)
EDR175967,εἰσειάτω (:εἰσίτω)
EDR175967,κακόμ (:κακόν)
EDR128617,Atimetys (:Atimetus)
EDR149289,Hortessi (:Hortensi)
EDR168648,copo (:caupo)
EDR168760,vetors (:vecors)
EDR151965,I̅I̅vir (:duovir)
EDR175790,Abas (:Abascantus?)
EDR148652,milis (:miles)
EDR124998,salute (:salutem)
EDR127973,Siiccia (:Siccia)
EDR148829,Hiic (:Hic)
EDR148829,pugnabiit (:pugnabit)
EDR148829,Septembriis (:Septembris)
EDR148829,pugnabiit (:pugnabit)
EDR149295,Heuodus (:Euhodus)
EDR146892,Mula (:Mulam)
EDR149973,futor (:fututor)
EDR161837,Mortus (:mortuus)
EDR175189,bellissimu (:bellissimum)
EDR163599,Felicla (:Felicula)
EDR167482,Quiscus (:Quisquis)
EDR175759,Datu (:Datur?)
EDR168755,Euce (:Euche)
EDR168755,is(sa) (:ipsa)
EDR175728,Apri (:Aprilis)
EDR175777,NOVII (:Novembris)
EDR128559,postas (:positas)
EDR146088,fuit (:futuit)
EDR148520,Sollemnes (:Sollemnis)
EDR149338,ligis (:lingis)
EDR149338,mentula (:mentulam)
EDR180224,Cot (:quod)
EDR151789,parmam (:palmam)
EDR168753,Aprodite (:Aphrodite)
EDR168753,issa (:ipsa)
EDR173786,Castresis (:Castrensis)
EDR127213,ivenalium (:iuvenalium)
EDR175860,paup (:pauper)
EDR175878,ISTMVS (:Isthmus)
EDR168632,ces (:nocens)
EDR127152,masit (:mansit)
EDR149048,dypundi (:dupundi)
EDR145429,IIas (:Ias)
EDR167672,Surus (:Syrus)
EDR146001,optume (:optime)
EDR147140,Proclo (:Proculo)
EDR149452,redei (:redii)
EDR151726,Sallidus (:Calidius?)
EDR146189,pdic (:pedicat)
EDR146189,Aplonia (:Apollonia)
EDR161789,cosiderate (:considerate)
EDR168048,que (:utrisque)
EDR168048,veivant (:vivant)
EDR167610,Asixi (:Asini?)
EDR173485,ivenis (:iuvenis)
EDR175851,dom (:domina)
EDR175883,CARIS (:Paris?)
EDR175883,ISSF (:isse?)
EDR175883,TIIITF_NTRIQ (:Septentrio?)
EDR175883,IAAIS (:Paris?)
EDR128616,Lucmo (:Lucumo)
EDR128734,casium (:caseum)
EDR128734,VIINVM (:vinum)
EDR128734,casium (:caseum)
EDR146191,Felicla (:Feliculam)
EDR144787,sei (:si)
EDR144787,sei (:si)
EDR144787,parvom (:parvum)
EDR151047,Murtis (:Myrtis)
EDR151047,felas (:fellas)
EDR127427,Menedimerume(nus) (:Menedemerumenus)
EDR127427,Menedimeru(menus) (:Menedemerumenus)
EDR143926,veicinei (:vicini)
EDR143926,sei (:si)
EDR143926,utei (:uti)
EDR144788,neisceire (:nescire)
EDR163698,Fyllis (:Phyllis)
EDR163698,felat (:fellat)
EDR167974,liget (:lingit)
EDR159687,eibat (:ibat)
EDR149325,FEL (:feliciter)
EDR175927,va (:vale)
EDR167540,Amoni (:Ammonium)
EDR151068,Murtis (:Myrtis)
EDR151068,felatris (:fellatrix)
EDR167428,Pompeis (:Pompeiis)
EDR175508,Ptronius (:Petronius)
EDR175508,Otavs (:Octavus)
EDR175215,pan (:panem?)
EDR175215,coliclo (:cauliculum)
EDR175215,be (:betam)
EDR175215,sina (:sinapi)
EDR151063,obique (:ubique)
EDR167718,aerus (:aeris)
EDR167718,comperendinarunt (:comperendinaverunt)
EDR128292,Lacene (:Lacenae)
EDR128762,Calistus (:Callistus)
EDR146889,Scepsini (:Scepsidi)
EDR168365,puela (:puella)
EDR150499,valea (:valeas)
EDR150499,futues (:futuis)
EDR149343,Posphorus (:Phosphorus)
EDR150505,felas (:fellas)
EDR161836,Mortus (:mortuus)
EDR161836,Cirulus (:Caerulus?)
EDR161836,posteru (:postridie Nonas)
EDR149453,luculentissimo (:luculentissime)
EDR174880,baliat (:valeat?)
EDR174880,car (:carus?)
EDR128733,Acathemer(us) (:Agathemerus)
EDR149490,fil(i)c(iter) (:feliciter)
EDR175589,Hiredem (:Iridem)
EDR175589,comiseretur (:commiseretur)
EDR175589,rumperes (:rumperis)
EDR175589,sedare (:sectari?)
EDR175589,pravessimus (:pravissimus)
EDR151415,hire (:ire)
EDR168754,Euce (:Euche)
EDR168754,issa (:ipsa)
EDR168756,Euce (:Euche)
EDR175732,EN (:bene?)
EDR146651,Feliclam (:Feliculam)
EDR166493,habitarunt (:habitaverunt)
EDR166493,felas (:fellas)
EDR159688,labore (:labori)
EDR175758,Rhinus (:Rhenus)
EDR167545,belissimus (:bellissimus)
EDR167872,Sollemine (:Sollemne)
EDR150010,ratio (:rationem)
EDR150010,pidicaro (:pedicavero)
EDR160078,scribet (:scribit)
EDR160078,leget (:legit)
EDR160078,opsultat (:opscultat)
EDR160078,Paticus (:pathicus)
EDR147519,Ga (:Gaius)
EDR147519,plurima (:plurimam)
EDR147519,pane (:panem)
EDR125001,contiquere (:conticuere)
EDR127972,muleri (:mulieri)
EDR127972,tr(aex) (:thraex)
EDR143925,sei (:si)
EDR143925,deivam (:divam)
EDR167507,pedicarim (:pedicarem)
EDR167115,usce (:usque)
EDR168646,quis (:quisquis)
EDR161769,Tertian (:Tertiani)
EDR161769,abitarut (:habitarunt)
EDR173499,Castresis (:Castrensis)
EDR175606,quit (:cur? quid?)
EDR175606,illae (:illi)
EDR151953,Calos (:καλός?)
EDR151953,isse (:ipse)
