Street Cardo III,City Herculaneum,Include in AGP? 
Cardo IV,Herculaneum,TRUE
Decumanus Maximus,Herculaneum,TRUE
Decumanus Inferior,Herculaneum,TRUE
Vicolo degli Scheletri,Pompeii,TRUE
Vicolo della Fullonica,Pompeii,TRUE
Via di Mercurio,Pompeii,TRUE
Vicolo dei Vettii,Pompeii,TRUE
Vicolo di Cecilio Giocondo,Pompeii,TRUE
Strada Stabiana,Pompeii,TRUE
Vicolo di Lucrezio Frontone,Pompeii,TRUE
Via di Porta Nocera,Pompeii,TRUE
Vicolo di Mercurio,Pompeii,TRUE
Via degli Augustali,Pompeii,TRUE
Vicolo del Gallo,Pompeii,TRUE
Via Marina,Pompeii,TRUE
Via dell'Abbondanza,Pompeii,TRUE
Vicolo del Menandro,Pompeii,TRUE